Cases,Pop_Estimate,Median_Income,Unemployment,Less_Highschool,Highschool,Associates,Bachelors,PCTPov_All,Pop_Density
723,15160,45913,5.1,20.3,37.7,27.2,14.8,21.5,1.86E-05
1176,37695,71691,5.6,11.3,34.7,28.9,25.1,9.7,4.27E-05
954,23933,52877,7.3,17.4,45.5,23.4,13.7,11.3,2.98E-05
554,17493,43568,6.9,19.8,34.8,30.2,15.2,15.5,1.40E-05
2767,59850,51682,6.5,17.3,35,33.1,14.5,15.1,2.38E-05
1013,30148,94293,4.8,10.1,30,30.6,29.2,5.4,4.47E-05
1025,23006,44586,6.5,14,34.1,25.1,26.8,20.6,2.54E-05
1648,38686,74518,6.5,9.4,33.8,33.2,23.6,8.3,5.63E-05
18696,475533,106208,6.5,11.5,20,27.3,41.1,6.1,0.000546865
1031,33935,54086,7.9,12.6,33.2,34.2,20,14.6,4.10E-05
178,7260,79086,4.5,11.6,27.6,25,35.8,8.5,1.05E-05
672,9071,49758,4.9,19.4,35.4,27.5,17.7,17.8,1.83E-05
3423,94509,71742,5.1,7.7,25,31.8,35.6,6.5,0.000145644
885,22757,58501,5.5,13.2,33.7,26.5,26.7,11.5,1.47E-05
2699,82346,67242,4.7,16,35.1,22.5,26.3,8.1,3.74E-05
693,26647,40345,6.6,19.7,38,30.1,12.2,20,2.17E-05
580,21629,41288,5.3,18.6,38.1,30,13.3,14.8,1.56E-05
1970,43905,59087,5.3,13,37.9,28.6,20.5,10.3,3.34E-05
1001,30090,41964,6.4,16.7,37.7,31,14.6,16.5,2.57E-05
816,17636,62327,5,15.2,29.8,36.6,18.4,13.3,1.14E-05
4850,138449,90262,6,8.8,29.5,29.9,31.7,6.6,0.000133138
5783,156748,109090,5.7,6.8,22.9,30.4,39.9,5.4,0.000224813
174,6385,59069,5.7,15,36.2,28.1,20.6,11.9,8.84E-06
475,10925,45134,8.5,19.7,42.5,25.1,12.7,21.6,8.60E-06
1184,40529,43619,7.6,18.3,36.5,30.3,14.9,21.7,3.02E-05
1539,40475,69878,5.8,13.1,35.9,29.3,21.7,9.7,7.28E-05
1768,53695,52387,5.8,14.3,34.3,28.6,22.8,12.3,3.69E-05
562,18149,54885,5.9,15.5,33.8,31.5,19.2,15.9,3.06E-05
1064,37206,42372,7.6,24.1,29.7,31.3,15,20.4,3.56E-05
1259,28620,48543,7.7,13.8,37.9,29.3,19,12.8,2.39E-05
2198,69199,91535,5.6,5.3,18.9,28.7,47.1,5.1,0.000255424
4279,158726,102589,6,7,11.6,18.3,63.1,8.6,0.004103918
524,17329,37678,7.7,15.3,29.7,29.6,25.4,21.8,0.000518519
377,6402,44752,5.7,18.9,40.3,24.9,15.9,17.2,0.000383934
1785,46950,58717,6.4,8.9,16.5,19.7,54.9,22.1,0.001769457
11208,247011,77361,6.1,7.9,24,34.9,33.2,8.3,0.000281739
1052,17205,57688,7.1,8.5,31.4,34.6,25.5,9.4,0.00088343
247,5639,41842,9.6,12.7,44.4,27.3,15.6,14.5,0.000398126
2050,39869,36073,9.7,18.2,31.5,32.6,17.6,23.5,0.000359684
252,5257,38631,11.1,20.6,33.8,31.8,13.8,20.5,0.000293998
244,23429,106430,5.6,6,13.4,19.8,60.8,7.1,0.00144957
242,14631,137849,3.8,1.1,7.3,14.1,77.6,3.5,0.002760428
451,7833,45433,8.5,13.7,29.1,38.1,19.1,19.2,0.000363251
1029,29492,62121,7.2,9.8,23.7,25.5,40.9,16.9,0.001089586
319,6296,37229,7.7,24.3,30.4,30.5,14.8,19,0.000295142
5827,135464,55816,8.5,8.6,29.1,35.5,26.9,13.8,0.001017446
2042,53204,48189,6.4,16.1,25.6,22,36.3,24.9,0.001184723
1663,22375,38293,10.7,18.7,36.7,29.8,14.8,19.3,0.000834305
564,7279,54204,7,8.6,21.9,22.9,46.7,22.9,0.001124517
3295,81561,50612,7.2,11.3,25.2,27.9,35.6,16.8,0.00064301
1374,40869,84405,6.5,17.3,25.8,27.3,29.6,7.4,0.001602021
270,18004,83145,6.8,17.3,26.4,28.4,27.9,6.3,0.002753445
569,12355,37814,10.9,17.2,28.5,33.3,21,19.5,0.000435394
7680,179062,53022,8.7,9,28.5,36.2,26.3,15.1,0.001000254
8373,242803,52437,8.7,12,25.6,33.6,28.8,19,0.001759623
114,3985,38062,7.5,16,24,37.3,22.8,19.3,0.000205772
2334,30446,40240,13.9,17.2,35.7,27.3,19.8,21.6,0.000517393
534,12257,98217,4.2,5.1,25.9,26.8,42.2,5.3,0.000307676
4339,95094,50411,9.6,11.7,30.1,36.3,21.9,18.5,0.001102562
597,18255,41530,6.3,8.8,23.8,29.4,38,30.5,0.000728401
7478,232226,50949,8.8,14.6,21.8,24,39.6,19.2,0.00149653
3066,99058,45534,7.7,13.8,34.1,28.7,23.4,19.5,0.000899536
955,25340,54888,5.8,10.8,29,32.3,27.9,9.4,0.000673924
931,25190,54296,6.3,10.3,29.8,26.5,33.4,11.3,0.000488237
3778,93913,77847,6.5,10.1,27.1,33.3,29.5,9.8,9.08E-05
18380,451231,78491,6.2,6.5,21,36.5,36,7.3,0.000711909
1118,22741,44619,6.5,13.9,33.4,25.6,27.1,12.3,0.00058654
398,15259,56569,8.2,5.3,18.7,19.2,56.8,18.2,0.000658985
1154,27700,60254,5.8,15.9,24.6,24.4,35.1,13.3,0.001163402
350,8058,34385,9.4,20.7,49.5,18.4,11.4,21.8,5.62E-06
702,14904,46824,9.8,13.8,50.9,23.3,12,16.3,1.61E-05
224,5705,48627,10.7,17.1,42,29.7,11.2,17.5,9.47E-06
3593,82938,49209,8.8,10.1,34.4,33.6,21.9,14.1,8.74E-05
