Cases,Pop_Estimate,Median_Income,Unemployment,Less_Highschool,Highschool,Associates,Bachelors,PCTPov_All,Pop_Density
123,9387,42317,5.5,18.5,40.2,26.1,15.1,20.5,1.02E-05
3307,76199,66645,4.4,15.9,32.1,29.2,22.7,10.3,8.66E-05
271,14483,59207,4.9,17.2,38.1,30.4,14.2,12.4,1.52E-05
322,15213,40603,5.1,20.7,38.7,30.3,10.3,21.2,1.77E-05
432,15267,35379,6.7,23.6,41.8,24.7,9.9,25.1,1.12E-05
197,8746,32808,6.3,20.7,44.8,26.6,7.9,29,9.72E-06
234,9667,37771,4.9,24.9,45.9,20.1,9.1,24.2,1.23E-05
522,28787,56819,4.6,10.9,39.2,30.3,19.6,12.8,2.82E-05
530,19261,57402,6.3,13,39.4,31.8,15.8,14.8,4.05E-05
92,10737,42667,5.2,20,37.9,25.6,16.5,18.5,2.11E-05
982,47512,42018,6.7,14.1,43.1,26.5,16.2,23.9,2.27E-05
477,30234,72425,4.6,9.1,29.8,35.7,25.4,9.3,3.28E-05
1602,63004,51410,6.2,9.3,31.6,40.9,18.3,14.5,4.71E-05
174,8031,45299,5.4,17.9,39.7,26.6,15.9,17.3,1.47E-05
233,20171,52051,4.4,12.3,34.7,35.5,17.4,14.2,1.95E-05
1637,118268,46450,6,13.4,31.4,29.9,25.3,20.4,9.18E-05
866,34186,57078,4.8,15.2,30.4,28,26.4,14.5,4.67E-05
675,21162,44473,7.8,16.6,41.6,27.7,14,18,3.17E-05
238,14387,46682,5.7,14.8,37.4,30.2,17.6,18.7,1.29E-05
244,12712,34634,6.7,26.4,34.8,30.1,8.8,29.4,1.23E-05
1112,30457,52326,5.2,16.8,39.8,24.9,18.5,15.6,4.17E-05
138,8516,41190,5.1,22.2,35.5,28.9,13.4,21.1,8.98E-06
656,21164,43571,8.6,20.3,39.8,29.5,10.4,22.2,1.63E-05
237,5622,41769,4,17.4,36.5,32.1,14,21.3,7.69E-06
387,21602,37383,6.5,22.8,39.5,28,9.7,30.7,1.63E-05
575,28042,70488,5.1,14.3,33.3,25.6,26.8,10.6,2.73E-05
180,9012,43657,5.4,18.3,38.1,27.7,16,19.4,1.44E-05
387,19636,67089,5.4,12.3,36,30.9,20.7,11.1,2.18E-05
1460,40032,50061,7.6,29.3,37.4,23.2,10.1,14.5,4.49E-05
5317,196442,47035,7.8,12,27.4,34.9,25.8,18.4,0.000350433
2737,113295,58222,7.1,13.4,33.8,33.1,19.8,11.2,0.000159794
1287,41124,100878,3.8,5.5,19.3,22.9,52.3,5.6,8.61E-05
439,15383,54346,4.8,20.3,38.9,23.8,17.1,12.8,1.35E-05
4610,173359,76580,5.4,10.6,32.9,33.8,22.6,6.8,0.000214333
625,27950,49815,6.2,17,29.8,32.6,20.5,19.8,7.18E-05
969,33127,66183,4.8,14.7,31.5,30.7,23.1,10.3,5.51E-05
365,19522,46701,4.5,16.6,42.8,28.1,12.6,16.4,2.21E-05
409,19121,74905,5,11.8,41.8,29.3,17.1,8.7,3.42E-05
1334,42840,47896,6,21.2,37.9,27.2,13.7,16.2,5.33E-05
168,11191,42274,4.5,18.9,36.8,31.1,13.2,20.7,1.73E-05
612,22520,62282,6.6,12.4,37.6,26.6,23.4,15.1,2.52E-05
31,2271,35522,6.5,35.3,35.4,22.2,7.1,22.8,5.80E-06
485,17273,46639,5.3,15.2,33.1,27.5,24.2,13,1.80E-05
108,6682,33505,5.9,25.5,35.8,28.5,10.3,25.3,6.02E-06
7018,202079,44810,7.6,15.9,31.4,31.4,21.4,21.7,0.000240577
2348,90939,60281,7.6,11.2,31.5,31,26.3,12.1,0.00027048
56,5196,51129,4.3,12.4,34.8,39.4,13.3,15.9,1.20E-05
281,14012,42331,8.2,16.5,41.5,26.6,15.4,24.1,8.38E-06
186,8060,38618,5,14,38.3,31.5,16.2,22.6,1.31E-05
1444,67414,49237,7.6,18.1,39.8,24.3,17.8,17.7,0.00013281
773,26107,45416,6.4,17.9,38.6,22.4,21,15,5.63E-05
180,6689,34566,5.7,31.9,36.4,19.5,12.2,34.7,5.63E-06
471,29282,40250,7.4,18.6,34.7,28.5,18.3,26.7,2.34E-05
138,6143,41045,6.9,17.7,45.5,24.7,12.1,19.6,6.06E-06
52,1562,37046,7.2,29,46.2,16.8,8.1,22.5,3.10E-06
540,25365,41457,4.3,24.2,38.1,24.5,13.2,26.5,2.04E-05
154,8074,28234,6.7,21.5,37.5,28.3,12.6,22.9,8.28E-06
141,15781,36264,9.9,29.7,47.2,14.4,8.6,27.7,1.39E-05
116,8523,37122,7.5,22.5,32.3,33.9,11.2,28.2,9.80E-06
1181,44372,47978,6.2,15.1,31.5,28.6,24.7,18,3.15E-05
501,40719,47764,5.1,18.1,34.7,29.1,18.1,21.5,6.03E-05
768,26973,41442,6.6,19.9,37.5,26.4,16.2,19.2,2.86E-05
355,12247,49023,6.7,10.1,29.9,30,30.1,12.7,2.84E-05
221,6822,37478,6,26.3,40.8,20.5,12.4,31.6,1.32E-05
1876,70214,47296,7.3,16.6,35.1,29.3,19,19.2,6.55E-05
127,7882,35400,7.2,18.8,38,31.5,11.7,28,1.07E-05
139,8103,44079,7.4,25.8,38.5,23.9,11.8,19,8.71E-06
621,25358,57049,4.4,11,34,32.5,22.5,11.6,3.04E-05
600,26527,40926,6.6,17.7,38.4,30.5,13.4,19.1,3.17E-05
2635,70116,47548,4.9,18,35.2,30.1,16.6,14.7,6.06E-05
3337,96875,67007,5.4,13.1,36,29.1,21.7,10.8,0.000114458
815,35826,37642,5.6,18.6,39.2,27,15.2,26.3,1.54E-05
152,5232,37313,6.8,26.8,39.8,21.1,12.3,26.5,7.10E-06
427,20150,41674,6.4,18.7,44.7,24.3,12.3,21.4,1.15E-05
910,30023,47382,5.6,16.6,42,28.5,13,18.4,1.81E-05
40,2595,41547,5.7,20.7,40.7,23.9,14.7,18.4,4.79E-06
59,7751,35927,7.2,19.2,50.5,16.8,13.6,34.2,1.01E-05
905,31094,54786,4.4,14.8,30.9,31.5,22.7,10.9,4.99E-05
3865,103837,53115,7.3,30.5,29.4,24.3,15.7,12.7,0.000138039
98,8502,38261,5.7,17.9,45.6,24.4,12.2,29.4,8.69E-06
212,9694,39716,6.7,16.3,44,25.9,13.8,19.6,7.97E-06
186,8812,43902,5.4,15.6,50.3,23.3,10.9,17,7.57E-06
310,19972,43142,5.4,17.1,42.7,29.2,11,20.3,1.35E-05
414,15467,47114,8.7,15.1,34.7,35.3,14.9,18.4,1.60E-05
1372,33647,57619,6.8,11.2,33.8,36.8,18.2,12,1.79E-05
1580,35414,54422,6.7,10.1,44.7,30.4,14.8,13,1.31E-05
1069,28383,53806,6.7,11.3,35.3,33.5,19.9,12.8,1.77E-05
754,29295,49048,7.1,6.4,31.2,30.1,32.2,23.3,1.92E-05
8800,305888,89379,8.3,6.9,26.5,32.2,34.4,5.4,0.000195728
6024,171256,69230,6.8,4.1,24.6,26.5,44.8,14.3,5.59E-05
2535,103015,52259,9.9,9.6,35.4,32.9,22.1,16.7,6.85E-05
1370,44567,54174,6.9,8.7,39.8,33.1,18.4,13.5,1.99E-05
9092,262635,66591,7.7,7.5,29.8,35.8,26.8,10.9,0.000141616
886,37045,52291,9.3,11,35.2,38.6,15.2,15,2.50E-05
443,11309,63628,7.4,7.1,39.4,34.6,18.9,9,1.13E-05
440,13173,51967,8,10.8,42.8,30.4,16,12.1,9.43E-06
433,13636,54159,10,13.2,33.6,39.3,13.9,15.9,2.22E-05
477,12068,77306,6.4,5.9,35.8,34.3,24,8.2,1.48E-05
345,15225,62241,8,8.1,39.6,35,17.4,8.1,1.05E-05
1205,34739,90904,5.6,4,27.6,33.3,35,4.2,3.48E-05
1516,28045,51665,8.7,12.3,39.3,31.7,16.7,16,1.54E-05
821,33400,55937,6.9,9.1,40.2,31.4,19.3,13.8,2.27E-05
331,14347,65472,5,15.3,33.4,32.7,18.6,8.6,1.65E-05
1867,50306,63565,8.1,9.8,33.4,35.4,21.4,9.4,2.56E-05
9261,177652,57717,10.4,9.1,27.6,32.7,30.6,14.8,0.000110869
954,20664,56880,9.4,16.7,36.6,34.2,12.5,14.4,1.81E-05
401,16355,72265,5.4,6.1,33.9,31.4,28.6,6.5,1.44E-05
385,15239,54309,6,11.3,38.7,32.2,17.8,14.4,7.08E-06
116,4142,46478,7.9,14,36,36.9,13.1,16.9,4.34E-06
123,5201,38506,11.7,11.2,36.3,40,12.5,22,1.01E-05
145,5716,74367,8.3,7.3,38.1,38,16.6,7.6,1.38E-05
791,31351,58444,7.1,15.7,37.3,33.7,13.3,12.7,2.10E-05
419,15507,49775,6.8,10.9,29.9,38.2,21,13.1,1.66E-05
3588,140907,57772,9.4,11.4,29.5,35.6,23.5,13.6,0.000127292
8490,258046,57726,9,8.9,28.1,34.9,28,13.3,0.000151479
783,23182,48547,9.7,13.3,27.5,40,19.2,15.7,2.36E-05
5084,193882,61768,8.2,7.5,27.2,30.8,34.5,12.2,8.62E-05
184,6738,56015,6.2,10.6,35.6,33.4,20.4,11.3,5.95E-06
149,4950,61231,6.6,6.5,47.7,29.9,15.8,11.2,7.62E-06
478,21299,61376,6.4,7.7,44.4,31,16.8,9.4,1.08E-05
178,5262,54804,7.3,8.7,41.6,32.6,17,11.2,7.05E-06
1384,43831,51786,7.3,7.5,35,38,19.6,11.5,3.00E-05
6109,130777,66206,8.1,7.3,31.7,34.7,26.3,8.2,7.81E-05
542,16498,51575,8.1,11.6,35.4,31.2,21.7,17.2,1.54E-05
2838,74855,46295,8.8,11.5,41.2,32.5,14.7,16.8,3.22E-05
294,11190,54249,8.3,9.4,30.7,41.7,18.2,13.5,1.94E-05
275,16696,53621,6.2,13.3,32,31.9,22.8,11.4,1.19E-05
410,13764,64297,5.3,7.8,33.4,37.9,20.9,8.1,9.45E-06
417,16031,51829,8.3,12.1,34.9,37.7,15.4,13.1,8.67E-06
558,13364,51388,7.6,10.1,37.4,37.1,15.5,14.5,1.04E-05
2231,54656,50880,8,9.4,37.7,34.6,18.2,11.4,3.08E-05
21541,688726,90249,9.5,9,26.9,29.8,34.3,6.5,0.000318129
2004,66415,56958,8.7,7.7,31.1,36.9,24.3,13.4,6.10E-05
8176,281295,59510,11.4,12.3,31.7,33.1,22.9,16.1,0.000211622
1818,38091,77117,6.1,5.2,31.3,30.3,33.2,6.1,2.79E-05
263,10079,56735,4.2,11.9,42.7,31.6,13.7,10.9,1.16E-05
1022,35328,53658,8.2,13.9,42,31.1,13,13,3.65E-05
3651,148219,53113,5.5,7.3,22.2,24.8,45.7,20.8,0.000145056
1326,38365,54366,5.2,10.2,41.3,30.3,18.2,12.1,2.94E-05
2154,70707,63414,5.4,11.9,39.3,31.6,17.3,8.9,6.76E-05
226,13907,61457,6.9,14.3,42.8,31.1,11.9,9.5,1.34E-05
1446,47832,60980,8.4,16.4,42,27.9,13.7,7.8,4.50E-05
162,5892,58294,7.4,12.4,43.1,29.8,14.7,9.6,2.64E-05
559,19651,47931,11.1,16.8,46.6,25.7,10.9,14.1,1.90E-05
602,20833,53387,6.3,14.6,44.4,27.9,13.1,12,2.09E-05
278,16871,51554,5.5,13.8,40.5,33.7,12,15.1,1.46E-05
609,19154,53908,6.5,9.7,44.7,29.5,16.1,12.1,1.94E-05
375,12378,52378,5.9,13.2,41.7,30.9,14.1,9.4,1.43E-05
5457,170980,74064,8.1,6.4,35,30.1,28.4,8.1,0.000157906
766,25275,68435,4.9,6.6,38.2,33.3,21.9,8.6,2.38E-05
297,12388,52432,6.1,11.5,46.1,29.7,12.8,11.2,1.10E-05
1071,37469,64098,6.2,11.1,42.4,29.7,16.8,10.5,3.01E-05
530,24191,50496,6.6,12.5,43.4,29.7,14.3,13.3,2.06E-05
858,28448,61219,6.4,10.7,43.6,27.6,18,9.1,2.46E-05
504,16649,54371,6.3,12.6,46.4,27,13.9,11,1.58E-05
10565,271484,53881,8.4,11.5,30.7,28.2,29.6,15.3,0.000228923
707,23788,50571,8.4,16.8,43.5,27.7,12,13.6,4.82E-05
1587,44871,59798,7.1,12.7,42.4,26.2,18.7,10.1,4.21E-05
777,20225,59183,5.6,9.5,46,29.2,15.2,8.7,1.97E-05
550,23049,54001,8,15.1,42.1,30.9,11.9,13.3,2.88E-05
1106,34831,59444,6.2,8.9,39.6,29.8,21.8,8.6,4.36E-05
408,20578,53375,7,11.3,44.2,32.4,12.1,14.4,1.78E-05
269,10724,52482,8.1,16.1,46.4,26.6,10.9,14.5,1.88E-05
7028,196115,51228,6.3,8.4,25.4,27.5,38.7,16.1,0.000151773
515,15227,69960,6.1,10.7,40.8,23.8,24.7,7.8,2.26E-05
195,7119,53866,5.5,12.6,43.4,25.6,18.5,9.6,1.71E-05
6410,182447,51603,7.2,9.9,32.5,30.6,27,14.4,0.000301463
399,15329,50723,7.5,9,43.4,33.4,14.2,12.2,2.30E-05
2959,106608,48082,7.9,11.6,32,31.2,25.1,20.8,0.000101999
885,30784,59874,6.1,11.2,42.6,28,18.1,10.9,2.88E-05
260,8194,64109,5.4,8,41.8,30.8,19.4,9.4,8.68E-06
2422,63269,79644,5.4,6.8,31.3,31.7,30.3,6.3,6.35E-05
924,28213,51948,6.9,15,43.1,28.5,13.4,12.1,2.12E-05
1676,65778,47885,6.8,13.5,37.3,30.9,18.2,15.2,6.32E-05
963,28142,61636,5.7,7.8,40.2,33.8,18.2,7.4,2.95E-05
762,24165,58295,5,11.2,41.6,30.8,16.4,10.3,1.85E-05
1399,34378,67347,5.9,8.2,39.2,31.9,20.7,7.7,3.96E-05
289,18347,51741,5.7,6.8,28,33.7,31.5,14.2,1.63E-05
3173,153740,67295,4.8,5.1,16.3,25.9,52.8,16,9.68E-05
366,20617,63399,5.7,7.7,39.6,33.3,19.5,9.5,1.38E-05
160,10085,54937,4.9,7.1,40.4,34.2,18.3,11.4,6.72E-06
586,14680,59568,3.8,6.1,37.4,39,17.5,10.3,5.83E-06
838,33480,51089,6.5,7,40.8,35.7,16.4,15,2.50E-05
3974,227854,64783,6.4,5.5,27,34.3,33.1,11.1,0.000122683
207,11011,60544,5,15.9,37.7,31.5,14.9,9.2,1.06E-05
185,8518,53085,3.6,7.9,41.3,33.8,17,14.9,7.64E-06
309,11756,66139,2.5,9.4,37.1,32.8,20.7,7.4,7.72E-06
597,16521,72578,5.7,5.8,36.6,33.2,24.5,6.9,1.14E-05
527,22370,59242,4.8,7.8,39.6,30.6,22,10.8,1.51E-05
871,33168,66381,4.2,6.7,34.1,30.4,28.8,8.2,2.31E-05
767,39495,55631,7.1,16.2,34.2,30.8,18.8,13,2.66E-05
321,14766,72679,3.9,7.2,34.1,34.6,24.1,8.8,1.30E-05
207,10647,61247,3.4,8.2,38.4,34.3,19,9.3,8.76E-06
275,8598,53104,4.8,7.7,38.3,38.7,15.3,12.3,4.78E-06
280,7770,56397,5.2,12.3,39.1,31.3,17.4,10.7,6.92E-06
253,9935,52715,4.7,9.6,35.2,36.8,18.5,13.2,9.04E-06
1115,42394,61767,6,11,35.3,32.2,21.5,10.1,3.74E-05
394,13679,60298,3.4,7.9,39.9,33.5,18.8,10.1,9.22E-06
162,5987,60702,2.9,11.6,36.6,34,17.9,9.3,5.80E-06
545,15073,52179,5,8.5,36.5,34.8,20.2,14.9,1.09E-05
300,8845,55074,4.6,7.3,29.2,38,25.5,11.1,6.06E-06
631,25219,69165,3.6,6.9,33.9,36.1,23.2,7.2,1.13E-05
128,6607,56146,3.5,7.8,39.4,37.8,15,10.1,4.42E-06
15327,494281,67331,6,8.5,24.5,30.3,36.7,10.1,0.000333517
2652,93328,60322,5.2,10.5,32.7,35.3,21.5,11,3.79E-05
329,18381,57741,4.9,6.1,37.9,29.9,26.1,11.6,1.21E-05
175,4801,50890,3.9,7.3,36.9,34.5,21.4,15.1,3.46E-06
252,9603,59392,3.5,7.2,36.9,35.9,20,9.5,6.45E-06
5410,173216,65724,6.8,7.2,29.6,31.4,31.8,11.8,0.000145997
346,11430,60498,3.6,7.6,35.3,34.9,22.2,8.7,7.47E-06
746,35043,71566,2.7,9.8,30.2,31,29.1,7,1.76E-05
2457,98237,64151,3.6,2.8,17.4,28.1,51.6,15.8,6.62E-05
326,16801,56281,5.1,8.7,40,35.5,15.8,13.1,9.00E-06
107,6092,51510,3.7,9.8,38.5,37.2,14.5,12.5,4.42E-06
224,12157,52914,5.9,9.7,35.5,36.7,18,12.1,1.11E-05
101,7069,50425,4.6,10.8,38.9,35.8,14.4,12.8,5.63E-06
1125,34985,50533,6,11.9,34.9,34.4,18.8,14.2,3.13E-05
1866,52265,79557,4.6,4.6,30.8,32.7,31.9,7.3,3.54E-05
626,21992,63230,4.1,8.6,39.3,30.3,21.8,9.1,1.49E-05
144,6415,49962,4.5,12.1,44.4,30.9,12.7,19.1,4.71E-06
648,35934,53344,5.2,9.5,33.9,36.7,19.9,12.1,1.94E-05
294,10277,50258,6.4,7.6,34.1,36.6,21.8,10.2,9.91E-06
574,19862,65482,4.9,4.8,33,31.6,30.6,8.6,1.11E-05
2733,103138,58419,5.3,12.9,32.2,31.8,23.1,12.8,4.56E-05
204,7359,60139,5.4,6.7,36.4,39.4,17.5,9.8,7.10E-06
289,12416,54251,4,7.6,36.9,38.2,17.2,11,8.26E-06
17,1518,60315,2.9,5.7,31.9,39.4,23.1,10.3,8.17E-07
2070,82246,75840,5.8,7.8,28.3,32.4,31.5,8.3,6.85E-05
46,2986,47557,2.9,6.7,31.1,39.4,22.8,12.1,1.60E-06
276,9654,62876,7,10.3,38.9,34.7,16.2,12,6.27E-06
19,2732,53538,2.5,9,28.1,46.3,16.6,10,9.83E-07
857,33045,49840,4.8,11.7,29.3,31.5,27.5,15.1,1.51E-05
871,28448,65834,3.5,8.7,27.9,35.4,28,7.2,1.22E-05
394,11652,51771,4.1,8.4,30.3,36.2,25,10.7,4.76E-06
229,9652,55858,3.1,7.8,42.2,31.1,18.9,9.4,4.14E-06
113,4029,64640,2.8,19.3,26.4,34,20.3,9.7,1.59E-06
861,34334,74428,5,4,31.8,34.4,29.8,6.8,2.30E-05
164,5879,51979,2.7,5.2,30.4,38.4,26.1,11.1,3.23E-06
1133,31502,44240,7.3,11.2,29.2,40.1,19.5,15.7,1.89E-05
177,5559,54775,3.9,8.8,36.1,33.7,21.4,10.5,3.09E-06
54,2538,56175,3,16,28,38.7,17.3,11.7,1.34E-06
156,10121,63373,3,5.8,39.8,29,25.4,8.8,5.45E-06
571,15929,49533,6.4,9.2,32.5,40.1,18.1,15.7,1.08E-05
48,2768,54727,3.4,9.1,31.1,40.4,19.4,10.6,9.94E-07
21,5328,49739,2.7,10.9,34.7,35.6,18.8,11.6,2.34E-06
396,15770,55655,5.1,9.2,39.1,32.4,19.2,14.2,8.63E-06
102,3439,46351,2.9,6.1,34.6,35.7,23.6,13.5,1.49E-06
130,5712,58729,4.3,5.1,35.4,35.1,24.5,9.9,3.06E-06
154,6366,65141,3.8,9.4,33.1,38,19.6,14,3.26E-06
128,5181,51546,3.4,7.6,36.6,34,21.8,11,2.26E-06
735,24722,73685,4.3,5.8,29.1,31.4,33.8,7.2,1.14E-05
128,9127,53980,3.6,7.9,24.9,36.9,30.3,11.2,4.79E-06
49,2511,50768,2.5,4.2,29.8,41.9,24.1,14.2,9.07E-07
1449,61793,53371,5.5,11.5,27.7,39.9,20.9,13.4,1.90E-05
98,4536,47082,3.3,4.1,34.5,35.9,25.5,12.2,2.44E-06
254,9362,56350,4.2,8.4,29.3,39.5,22.8,11.8,4.98E-06
1231,73202,51996,5,4.2,19.1,31.1,45.6,20.9,4.64E-05
123,4827,49485,4,11.3,30.4,35.2,23.1,10.5,2.09E-06
88,2947,53189,4.6,7.9,29.8,38.6,23.7,12.2,1.59E-06
131,6804,46112,4.2,11.9,27.2,37.7,23.1,14.4,2.96E-06
1664,53926,56741,5.5,8.5,30.1,34.1,27.3,12.3,2.89E-05
70,4790,62914,2.5,15.6,27,32.4,25.1,7.9,2.58E-06
15524,519907,60014,8.7,10.4,26.3,32.4,30.9,12.6,0.000201244
307,21038,55727,4.4,33.7,28.7,26.6,11,14.2,1.27E-05
5451,175999,59451,5.9,7.8,31.4,29.9,30.9,9.8,0.000124912
44,2520,54627,2.3,3.9,34.1,40,22,11.8,1.09E-06
88,5777,54000,3.4,7.7,30.3,40.3,21.8,12.5,2.11E-06
54,3544,45915,2.7,7,35.9,34.8,22.3,11.6,1.53E-06
59,4046,51007,3.7,9.3,29.3,36.1,25.2,13.7,1.97E-06
23,1969,63401,2.4,21.5,29.6,30,19,10.6,1.12E-06
71,5388,61264,2.9,21.8,25.8,38.7,13.7,9.7,2.86E-06
765,22578,53618,8.1,7.7,34.9,34.1,23.3,11.4,7.38E-06
162,7702,58652,2.9,6.7,26.4,44.3,22.6,9.1,2.77E-06
111,2758,52597,3.5,6.8,31.1,37.3,24.8,10.8,1.20E-06
227,6906,66168,4.2,4.6,34.9,36.3,24.2,6.9,3.36E-06
17,1536,54714,2.2,5.3,25.8,36.4,32.4,12.1,6.49E-07
93,5427,46263,2.5,8.4,40.7,30.5,20.3,9.5,2.34E-06
34,2074,54009,2.1,13.4,27.5,38.5,20.6,11,1.11E-06
321,8362,46243,7.8,11.5,33.9,38.1,16.5,13.3,5.66E-06
98,3015,43751,5.9,9.3,35.2,38.3,17.2,14.3,2.34E-06
4341,165265,47292,7.8,21.1,32.1,28.6,18.1,20.6,0.000420795
1770,44740,53199,6.1,13.1,36,32.7,18.2,16.3,3.96E-05
514,16067,51806,5.7,14.9,41.2,30.8,13.1,14.7,2.17E-05
145,4364,52331,5.5,19.9,41.7,22.6,15.8,16.9,6.95E-06
1788,44662,48769,7.4,13.3,40.4,29.8,16.5,18.1,3.18E-05
457,13340,34940,8.7,25.4,42.7,18.1,13.8,27.8,1.49E-05
28597,767452,59025,6.8,9.4,26.7,30.5,33.4,14.2,0.000778372
1936,54057,62533,5.6,12.7,30.5,27.3,29.5,11,0.00012123
803,22002,31202,8.7,19.4,36.3,28,16.3,25.8,3.24E-05
7401,167949,68692,5.8,10.1,28.7,29.5,31.7,11.2,0.000404574
400,14512,32613,8.5,24.9,33.7,26.5,14.9,30.5,1.59E-05
1582,31022,31634,8.2,26.5,38,21.3,14.2,31.5,3.10E-05
493,14431,49785,7.2,16,39.2,32.4,12.4,15.4,2.13E-05
2953,61238,44033,6.9,18.9,39.1,27.5,14.4,21.4,5.45E-05
662,15436,38055,8.3,24.9,42.5,22.8,9.8,23.4,1.43E-05
228,7268,30905,7,31.9,36.3,23.5,8.3,34.9,1.34E-05
437,9637,32202,10.8,28.7,41.9,20.8,8.7,32.3,9.28E-06
867,21213,32435,10.2,24.3,37,26.5,12.1,28.9,2.42E-05
505,13262,37410,9.5,24.2,42.8,24,9.1,23.2,1.06E-05
843,24466,43220,7.9,20.1,42.7,24.2,13,19.7,2.84E-05
349,9041,50521,7.5,16.2,43.6,28.3,11.8,12.2,1.11E-05
1132,27416,48902,5.5,15.1,44.5,24.1,16.4,15.3,1.92E-05
1263,8133,52978,5.3,12.2,41.1,29.8,16.9,14.5,1.47E-05
2222,65644,48219,7.2,9.5,31.4,34.9,24.2,15.5,0.000101893
883,17071,32701,7.3,23.4,40.9,28.4,7.2,34.5,1.54E-05
328,9075,51184,5.6,12.7,41.2,32.6,13.5,14,1.39E-05
3552,94265,50316,6,12.5,28.1,28.7,30.8,17.7,8.32E-05
243,12017,32045,16.1,30.3,36.4,23.8,9.5,29.4,1.50E-05
769,19314,48062,7.8,18.5,45.3,23.5,12.6,16.8,2.17E-05
1191,31163,57945,6.1,11.3,38.2,31.2,19.2,11.8,3.99E-05
368,11031,34291,11.6,25.6,39,23.7,11.7,34.4,1.85E-05
735,17035,47861,8,13.7,34.7,32.1,19.5,15.7,2.74E-05
877,28616,54946,7.1,11.3,35.5,33.8,19.4,11.4,3.62E-05
248,6502,37457,8.9,22.6,44.7,21.5,11.2,26.1,1.23E-05
1168,21889,55267,7.3,15.6,36.8,29.1,18.5,13.8,3.39E-05
434,10058,38978,7.8,24.4,38.6,24,13,22.6,1.34E-05
382,10549,36512,5.4,25.2,39.3,21.1,14.4,21.7,1.24E-05
1231,28186,52903,8,15.2,40.3,28.9,15.7,15.8,5.51E-05
1719,13142,37433,6.9,23.7,41.4,22.4,12.5,26.5,1.33E-05
997,30457,45049,8.7,17.9,44.8,24.8,12.6,18.8,2.52E-05
2031,46450,64795,6.9,10.2,37.2,34.5,18,10.5,4.30E-05
286,7234,38084,6.8,24.2,42.1,24.8,8.9,17.3,1.43E-05
963,23899,47542,7.2,16.7,43,26.7,13.6,15.6,1.57E-05
3765,66999,101152,4.8,6.2,20.7,30.8,42.4,4.9,0.000138157
232,11017,51494,6.4,20.7,46.4,21.9,10.9,15.7,1.21E-05
186,4331,28727,7.4,31.2,36.8,15.8,16.2,35.5,8.47E-06
409,14586,58962,5.2,16.2,43.8,26.8,13.2,12.4,2.03E-05
1083,25456,38000,8.9,23.1,33,29.5,14.4,24.2,2.89E-05
2578,57057,36875,8.4,23,39.4,24.5,13,24,2.80E-05
541,12218,41760,7.3,19.7,40,24.4,15.9,21.5,2.64E-05
2550,65530,43568,7.3,17.2,35.7,30.7,16.5,22.5,3.84E-05
83,2136,47017,6.1,15.3,38.3,30.1,16.3,22,8.25E-06
650,16750,40790,7.1,21.6,43.4,23.6,11.4,21,2.04E-05
991,24682,44068,7.5,15.8,33.4,25.7,25.1,23.3,3.41E-05
716,17998,44056,8.2,21.5,38,25.9,14.7,22.6,2.74E-05
2415,58470,74719,6.3,9,30.3,32.3,28.4,8.6,8.01E-05
1617,49611,71737,5.5,13.5,30.3,31.3,24.9,9.4,5.04E-05
887,18635,52931,7.2,13,44.9,27.9,14.2,12.5,3.07E-05
598,19585,79863,5.8,9.6,36.3,33.8,20.3,7.3,4.05E-05
1314,25707,48485,6,12.9,39.2,28.3,19.6,16.4,3.73E-05
431,12448,47742,4.8,22.5,40.5,23.7,13.2,17.1,1.28E-05
612,14776,49955,6.9,12,33.2,38.3,16.6,14.6,1.29E-05
304,8481,58998,6.8,17.2,46.3,22.4,14.1,11.9,2.16E-05
377,14443,49870,6.3,10,47.8,31.1,11.1,17.3,1.63E-05
5707,134510,53238,6.6,11.9,26.6,29.3,32.2,15.4,9.59E-05
561,12147,51286,6.2,16,42.4,22.8,18.8,14.4,1.58E-05
838,20209,34449,6.5,25.4,38.7,23.6,12.3,23.8,1.70E-05
496,12923,49079,6.4,17.5,47,25.4,10,16.3,1.50E-05
2153,36451,38191,7.1,18.6,36.9,24.1,20.4,22.6,3.21E-05
212,7106,32773,7.7,28.2,37.4,25.7,8.7,30.1,1.23E-05
883,26765,67815,5,8.9,29.8,27.5,33.8,8.3,5.44E-05
1585,48330,40918,9.2,17.2,51,21.6,10.2,23.8,3.36E-05
10256,263446,71526,6.8,9.5,26.6,30.1,33.8,11.5,0.000120201
3572,136765,47860,9.5,16.4,37.2,26.5,20,21.7,6.67E-05
87,4178,31436,8.4,22.5,46.1,20,11.4,28.9,2.68E-06
3840,109859,51719,7.7,21,38.9,24.4,15.6,19,3.45E-05
537,22170,44617,7.1,14.3,44.8,23.6,17.2,19.4,9.76E-06
1806,59378,50193,7.4,22.1,41.3,22.4,14.2,17,1.95E-05
890,47894,51652,7.1,13.2,40.2,29,17.5,15.3,1.39E-05
1222,45773,35505,8.2,20.5,44.7,23.2,11.6,24.9,2.64E-05
1266,37943,38386,7.9,16.1,42,26.5,15.4,29.6,2.47E-05
1005,26792,65344,7.2,12.8,37.2,28,22,14.4,5.38E-05
260,10646,42614,10.1,21.2,45.7,21.4,11.7,21,1.14E-05
223,15465,65296,5.4,17.9,31.8,26.1,24.2,22.1,1.48E-05
310,13839,43166,7.1,18.2,45.8,22.1,13.9,23.4,5.62E-06
